id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18800600,Mon Palau - Biniancolla,13024728,Menorca Habitat,,Sant Lluís,39.81309,4.26312,Entire home/apt,115,7,13,2019-09-29,0.39,31,21
18801424,BINI BELIN · THE BEST PRICE ALWAYS WITH MARGEMAR,70295656,Víctor Manuel,,Sant Lluís,39.82111,4.2365,Entire home/apt,168,6,1,2017-10-02,0.03,7,198
18807349,Binidali Bungalow mit Gemeinschafts Pool,130930460,Rebekka,,Mahón,39.83724,4.19226,Entire home/apt,120,3,22,2019-08-25,0.64,1,303
18817695,Apartment surrounded by Emerald Crystalline Waters,30918959,Sofia,,Es Mercadal,40.04359,4.10632,Entire home/apt,60,4,12,2019-09-13,0.34,1,0
18821271,Menorca Campervan + Seguro,131043587,Ian,,Es Migjorn Gran,39.91656,4.03443,Entire home/apt,95,3,29,2019-09-12,0.84,1,1
18821649,Delizioso Appartamento Vista Mare 4 posti Letto,16414827,Gabriele,,Ciutadella de Menorca,39.9763,3.83334,Entire home/apt,115,7,15,2019-09-07,0.44,1,290
18836680,Apartamento duplex (izq) 1ª linea puerto de Mahón,12544697,Lina,,Mahón,39.89009,4.27251,Entire home/apt,59,5,36,2019-12-29,1.06,3,329
18837783,Habitación en primera línea del puerto de Mahón,14634960,Anfitrión,,Es Castell,39.88254,4.28879,Private room,70,3,0,,,2,0
18849629,"Sea-view design apartment in Son Bou, Menorca",61755859,Pedro,,Alaior,39.90329,4.07668,Entire home/apt,129,5,39,2019-11-02,1.12,1,34
18860792,Apartamento Mirador del Rey 1.,131409828,Marisol,,Es Castell,39.88254,4.28992,Entire home/apt,120,6,0,,,1,0
18862885,Villa marineta 2,112840277,Rev-Pave Sl,,Ciutadella de Menorca,40.00415,3.81071,Entire home/apt,90,5,7,2019-07-06,0.22,24,342
18866129,Villa Marineta 3,112840277,Rev-Pave Sl,,Ciutadella de Menorca,40.00414,3.81007,Entire home/apt,83,5,6,2019-09-23,0.18,24,348
18870688,Einstein at Casa Bonita: suite with bath en suite,517282,Gloria,,Es Castell,39.85404,4.27791,Private room,134,2,10,2019-09-12,0.29,3,183
